人物ID,姓名,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,生年月日,没年月日,人物著作権フラグ
148,夏目漱石,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,1867-02-09,1916-12-09,なし
81,宮沢賢治,宮沢,賢治,みやざわ,けんじ,みやさわ,けんし,Miyazawa,Kenji,1896-08-27,1933-09-21,なし
35,太宰治,太宰,治,だざい,おさむ,たさい,おさむ,Dazai,Osamu,1909-06-19,1948-06-13,なし
119,中島敦,中島,敦,なかじま,あつし,なかしま,あつし,Nakajima,Atsushi,1909-05-05,1942-12-04,なし
96,夢野久作,夢野,久作,ゆめの,きゅうさく,ゆめの,きゆうさく,Yumeno,Kyusaku,1889-01-04,1936-03-11,なし
879,芥川竜之介,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,1892-03-01,1927-07-24,なし
196,鴨長明,鴨,長明,かも,ちょうめい,かも,ちようめい,Kamo,Chomei,1153,1216,なし
74,梶井基次郎,梶井,基次郎,かじい,もとじろう,かしい,もとしろう,Kajii,Motojiro,1901-02-17,1932-03-24,なし
296,福沢諭吉,福沢,諭吉,ふくざわ,ゆきち,ふくさわ,ゆきち,Fukuzawa,Yukichi,1835-01-10,1901-02-03,なし
156,小林多喜二,小林,多喜二,こばやし,たきじ,こはやし,たきし,Kobayashi,Takiji,1903-10-13,1933-02-20,なし
31,葉山嘉樹,葉山,嘉樹,はやま,よしき,はやま,よしき,Hayama,Yoshiki,1894-03-12,1945-10-18,なし
129,森鴎外,森,鴎外,もり,おうがい,もり,おうかい,Mori,Ogai,1862-02-17,1922-07-09,なし
121,新美南吉,新美,南吉,にいみ,なんきち,にいみ,なんきち,Niimi,Nankichi,1913-07-30,1943-03-22,なし
1162,秋田滋,秋田,滋,あきた,しげる,あきた,しける,Akita,Shigeru,1908-07-05,1943-10-15,なし
1168,高村光太郎,高村,光太郎,たかむら,こうたろう,たかむら,こうたろう,Takamura,Kotaro,1883-03-13,1956-04-02,なし
153,石川啄木,石川,啄木,いしかわ,たくぼく,いしかわ,たくほく,Ishikawa,Takuboku,1886-02-20,1912-04-13,なし
155,紀貫之,紀,貫之,きの,つらゆき,きの,つらゆき,Kino,Tsurayuki,870,1902-08-02,なし
1095,坂口安吾,坂口,安吾,さかぐち,あんご,さかくち,あんこ,Sakaguchi,Ango,1906-10-20,1955-02-17,なし
231,伊丹万作,伊丹,万作,いたみ,まんさく,いたみ,まんさく,Itami,Mansaku,1900-01-02,1946-09-21,なし
67,萩原朔太郎,萩原,朔太郎,はぎわら,さくたろう,はきわら,さくたろう,Hagiwara,Sakutaro,1886-11-01,1942-05-11,なし
1030,堀辰雄,堀,辰雄,ほり,たつお,ほり,たつお,Hori,Tatsuo,1904-12-28,1953-05-28,なし
26,中原中也,中原,中也,なかはら,ちゅうや,なかはら,ちゆうや,Nakahara,Chuya,1907-04-29,1937-10-22,なし
914,ディケンズチャールズ,ディケンズ,チャールズ,ディケンズ,チャールズ,ていけんす,ちやあるす,Dickens,Charles,1812-02-07,1870-06-09,なし
1128,文部省,文部省,,もんぶしょう,,もんふしよう,,Monbusho,,,,なし
1566,柳田国男,柳田,国男,やなぎた,くにお,やなきた,くにお,Yanagita,Kunio,1875-07-31,1962-08-08,なし
1235,カフカフランツ,カフカ,フランツ,カフカ,フランツ,かふか,ふらんつ,Kafka,Franz,1883-07-03,1924-06-03,なし
183,牧野信一,牧野,信一,まきの,しんいち,まきの,しんいち,Makino,Shin'ichi,1896-11-12,1936-03-24,なし
64,樋口一葉,樋口,一葉,ひぐち,いちよう,ひくち,いちよう,Higuchi,Ichiyo,1872-05-02,1896-11-23,なし
1092,グリムヴィルヘルム・カール,グリム,ヴィルヘルム・カール,グリム,ヴィルヘルム・カール,くりむ,ういるへるむかある,Grimm,Wilhelm Carl,1786-02-24,1859-12-16,なし
1091,グリムヤーコプ・ルートヴィッヒ・カール,グリム,ヤーコプ・ルートヴィッヒ・カール,グリム,ヤーコプ・ルートヴィッヒ・カール,くりむ,やあこふるうとういつひかある,Grimm,Jacob Ludwig Carl,1785-01-04,1863-09-20,なし
1124,魯迅,魯迅,,ろじん,,ろしん,,Lu Xun,,1881-09-25,1936-10-19,なし
125,小栗虫太郎,小栗,虫太郎,おぐり,むしたろう,おくり,むしたろう,Oguri,Mushitaro,1901-03-14,1946-02-10,なし
19,アンデルセンハンス・クリスチャン,アンデルセン,ハンス・クリスチャン,アンデルセン,ハンス・クリスチャン,あんてるせん,はんすくりすちやん,Andersen,Hans Christian,1805-04-02,1875-08-04,なし
94,ポーエドガー・アラン,ポー,エドガー・アラン,ポー,エドガー・アラン,ほお,えとかああらん,Poe,Edgar Allan,1809-01-19,1849-10-07,なし
912,スウィフトジョナサン,スウィフト,ジョナサン,スウィフト,ジョナサン,すういふと,しよなさん,Swift,Jonathan,1667-11-30,1745-10-19,なし
158,島崎藤村,島崎,藤村,しまざき,とうそん,しまさき,とうそん,Shimazaki,Toson,1872-03-25,1943-08-22,なし
214,田山花袋,田山,花袋,たやま,かたい,たやま,かたい,Tayama,Katai,1872-01-22,1930-05-13,なし
9,ドイルアーサー・コナン,ドイル,アーサー・コナン,ドイル,アーサー・コナン,といる,ああさあこなん,Doyle,Arthur Conan,1859-05-22,1930-07-07,なし
1779,江戸川乱歩,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,1894-10-21,1965-07-28,なし
888,スティーブンソンロバート・ルイス,スティーブンソン,ロバート・ルイス,スティーブンソン,ロバート・ルイス,すていいふんそん,ろはあとるいす,Stevenson,Robert Louis,1850-11-13,1894-12-03,なし
58,伊藤左千夫,伊藤,左千夫,いとう,さちお,いとう,さちお,Ito,Sachio,1864-09-18,1913-07-30,なし
329,楠山正雄,楠山,正雄,くすやま,まさお,くすやま,まさお,Kusuyama,Masao,1884-11-04,1950-11-26,なし
91,尾崎紅葉,尾崎,紅葉,おざき,こうよう,おさき,こうよう,Ozaki,Koyo,1868-01-10,1903-10-30,なし
363,ドストエフスキーフィヨードル・ミハイロヴィチ,ドストエフスキー,フィヨードル・ミハイロヴィチ,ドストエフスキー,フィヨードル・ミハイロヴィチ,とすとえふすきい,ふいよおとるみはいろういち,Dostoevskii,Fedor Mikhailovich,1821-11-11,1881-02-09,なし
25,有島武郎,有島,武郎,ありしま,たけお,ありしま,たけお,Arishima,Takeo,1878-03-04,1923-06-09,なし
908,坂本竜馬,坂本,竜馬,さかもと,りょうま,さかもと,りようま,Sakamoto,Ryoma,1836-01-03,1867-12-10,なし
1518,太安万侶,太,安万侶,おおの,やすまろ,おおの,やすまろ,oono,yasumaro,,0723-08-15,なし
1519,稗田阿礼,稗田,阿礼,ひえだの,あれ,ひえたの,あれ,hieda,are,,,なし
42,寺田寅彦,寺田,寅彦,てらだ,とらひこ,てらた,とらひこ,Terada,Torahiko,1878-11-28,1935-12-31,なし
52,紫式部,紫式部,,むらさき しきぶ,,むらさきしきふ,,Murasaki Shikibu,,,,なし
50,泉鏡花,泉,鏡花,いずみ,きょうか,いすみ,きようか,Izumi,Kyoka,1873-11-04,1939-09-07,なし
65,九鬼周造,九鬼,周造,くき,しゅうぞう,くき,しゆうそう,Kuki,Shuzo,1888-02-15,1941-05-06,なし
107,鈴木三重吉,鈴木,三重吉,すずき,みえきち,すすき,みえきち,Suzuki,Miekichi,1882-09-29,1936-06-27,なし
195,尾崎放哉,尾崎,放哉,おざき,ほうさい,おさき,ほうさい,Ozaki,Hosai,1885-01-20,1926-04-07,なし
38,国木田独歩,国木田,独歩,くにきだ,どっぽ,くにきた,とつほ,Kunikida,Doppo,1871-08-30,1908-06-23,なし
218,三木清,三木,清,みき,きよし,みき,きよし,Miki,Kiyoshi,1897-01-05,1945-09-26,なし
6,二葉亭四迷,二葉亭,四迷,ふたばてい,しめい,ふたはてい,しめい,Futabatei,Shimei,1864-04-04,1909-05-10,なし
83,菊池寛,菊池,寛,きくち,かん,きくち,かん,Kikuchi,Kan,1888-12-26,1948-03-06,なし
